Updated 22.08.2025,,Essence Cap,I,II,III,IV,V,Soul Types,,,A new sheet for event prices has been added at the bottom of the page,,,,,
,,,,,,,,,,,,,,,,
Tempest Key Essences,,,,,,,,,,,Contributions and opinions to validate prices come from the general public along observed trades.,,,,,
,Curse of Living Flames,3,B,BB,S,,,,,,Please send us feedback on prices that you think should be updated.,,,,,
,Explosive Webbing,3,B,A,SS,,,,,,This 2 year old essence price chart is now a joint collaberation across multiple clans.,,,,,
,Vampire Strike,,X,,,,,,,,Discord server for trading: https://discord.gg/3DUq5q3ekJ,,,,,
,Fertile Strike,,B,,,,,,,,,,,,,
,Groundbreak Crit,,BBB,,,,,,,,,,,,,
,Fairy Barrier,4,BBB,S,X close to Z,Z,,,,,,,,,,
,Web Eater,4,B,A,SS,SSS,,,,,"There are now 399 essences including tiers (32 Tempest, 35 Paradox, 30 Dimensional, Inferno 35, Chaos 267)",,,,,
,Gravity Resistance,4,BB,A,X close to Z,Z,,,,,Average chaos key price: 2s,,,,,
,Blood Walker,4,BBB,AA,SSS,X,,,,,bleep bloop christiebot price check machine sayz:,,,,,
,Ghost Block,,(no ess form),Price is based on Shield's soul type/count and if it has mending,,,,,,,Price Tiers,Quality Tiers,,,,
,Poseidon Block,,(no ess form),Price is based on Shield's soul type/count and if it has mending,,,,,,,Bidding wars,Z,,,,
,Railgun,,S,,,,,Fire 2,,,1-2 Sheggs,X,,,,
,Mass Levitation,,B,,,,,Dragon 2,,,15s-26s,SSS,,,,
,Swap Gate,,B,,,,,Dim 1,,,9s-15s,SS,,,,
,Entangling Roots,,A,,,,,Nature 1,,,7s-9s,S,,,,
,Living Wings,,(no ess form),Price is based on Elytra's soul type/count and if it has mending,,,,,,,7s,AAA,,,,
,Condensed Lightning,,BBB,,,,,Nature 2,,,6s,AA,,,,
Paradox Key Essences,,,,,,,,,,,5s,A,,,,
,Cake On Kill,,BBB,,,,,,,,4s,BBB,,,,
,Repeating Arrow,,SS,,,,,,,,3s,BB,,,,
,Fang Strike,,BB,,,,,,,,2s,B,,,,
,Slayer Of The Blind,,AAA,,,,,,,,1s Or Less,CCC,,,,
,Absorption On Teleport,3,CCC,AA,SS,,,,,,32d Or Less,CC,,,,
,Ice Pedestal,,CCC,,,,,,,,16d Or Less,C,,,,
,Rain Healing,,CC,,,,,,,,Not Yet Traded,TBD,,,,
,Back Claymore,,BB,,,,,,,,"pricing will likely change over time, overall tiers likely wont unless there are major buffs/nerfs",,,,,
,Nausea Immunity,,C,,,,,,,,tiers are meant as a reference point based on how stuff has sold so far;,,,,,
,Weakness Resistance,4,BBB,S,X,Z,,,,,the goal is for everyone to have the same information and use that to come to a fair deal,,,,,
